kampong,price,type,tenure,status,storeys,plot_area,floor_area,beds,baths,listing
Kg. Kapok,335000,Detached,Freehold,Under Construction,NA,0.196,2540,4,3,"""Escape to your dream home in Kg. Kapok!

🏠 Experience the ultimate in luxury living with this stunning 4-bedroom, 3-bathroom detached house, perfectly priced at BND $335,000.

Enjoy a spacious floor area of 2,540 sqft on a picturesque plot area of 0.196 acres, perfect for those seeking a serene retreat from the hustle and bustle of city life.

Currently under construction and available for immediate move-in, this property offers the perfect blend of modern amenities and traditional charm.

Don't miss out on this incredible opportunity to own a piece of paradise in Kg. Kapok! Contact us today to schedule a viewing and make your dream home a reality!"""
Kg. Gadong,390000,Detached,NA,Under Construction,NA,0.123,2790,5,5,"🌴 🏠 Exciting Opportunity in Kg. Gadong! 🚨

Are you ready to own a piece of paradise? We have an incredible investment opportunity in Kg. Gadong, Brunei!

This stunning 5-bedroom, 5-bathroom detached house is now available for purchase at an unbeatable price of BND 390,000. With a total floor area of 2790 sqft and a plot area of 0.123 acres, this property offers the perfect blend of luxury and space.

Currently under construction, this project promises to deliver top-notch amenities and services that will elevate your living experience to new heights. Don't miss out on this chance to own a piece of Brunei's premier residential development!

Contact us today to schedule a viewing and make this dream a reality! 📲 0123456789"
Lambak,310000,Semi-Detached,Freehold,New,2,0.1,2800,4,3,"🏠💕 **Lambak's Serene Oasis!**

Escape to a tranquil haven in this stunning Semi-Detached home, perfectly nestled in the heart of Kampong Lambak!

With 4 spacious bedrooms and 3 modern bathrooms, this 2800 sqft abode offers ample space for relaxation and entertainment.

Indulge in the comfort of freehold tenure, where you can own your dream home without any restrictions. Plus, enjoy the convenience of a plot area of 0.1 acres and floor area of 2800 square feet!

Located in a new development, this property boasts modern amenities and modern living. Don't miss out on this incredible opportunity to own your Lambak haven! 💖

**Price:** BND 310,000
**Status:** New
**Tenure:** Freehold"
Kg. Jangsak,195000,Terrace,NA,New,NA,0.048,2099,4,3,"🏠 🌴 Beautiful Terrace Home for Sale in Kg. Jangsak!

🌳 Enjoy a tranquil living experience in this stunning 4-bedroom, 3-bathroom house located in the heart of Kg. Jangsak! 😊

This beautiful property boasts an impressive floor area of 2099 sqft and a lush plot area of 0.048 acres, providing ample space for you to relax and unwind.

Don't miss out on this amazing opportunity to own a piece of paradise at an unbeatable price of BND 195000!

NA tenure means no worries about paying rent, and the property is currently in the new category, so you can start fresh and make your home your own.

Ready to find your dream home? Contact me today to schedule a viewing! 📲"
Kg. Tanah Jambu,250000,Detached,Leasehold,Under Construction,NA,0.093,2002,4,3,"🏠💕 **Dream Home in Kg. Tanah Jambu - Coming Soon!** 🌳

Are you ready to find your perfect haven? Look no further! We have an amazing opportunity for you in Kg. Tanah Jambu, a prime location in Brunei.

This beautiful 4-bedroom, 3-bathroom detached house is part of a leasehold development, offering the perfect balance between comfort and affordability.

Plot area: 0.093 acres
Floor area: 2002 square feet

Currently under construction, this stunning home features:

✨ Spacious living areas for ultimate relaxation
✨ Four bedrooms with plenty of natural light
✨ Three modern bathrooms for added convenience
✨ A serene outdoor space to unwind and enjoy the surroundings

Don't miss out on this incredible chance to own a piece of paradise. Contact us today to schedule a viewing and make your dream home a reality! 💬

**Price: BND 250,000**"
Kg. Tanjong Bunut,268000,Terrace,NA,New,NA,0.041,2284,4,3,"🏠🌴 NEW LIFESTYLE AWAITS! 🌴🏠

Are you ready to find your dream home in the beautiful Kampong Kg. Tanjong Bunut? 🤔 Look no further! This stunning Terrace house is now available for sale at an unbeatable price of BND 268,000.

Located on a 0.041-hectare plot area, this spacious property boasts a floor area of 2,284 square feet and features 4 bedrooms and 3 bathrooms.

Enjoy the perfect blend of comfort and convenience in this newly built property with a tenure that's still in its early stages. The house is situated in a prime location, making it an ideal choice for those looking to relocate or invest in Brunei's thriving real estate market.

Don't miss out on this incredible opportunity to own a piece of paradise! Contact us today to schedule a viewing and make your dream come true. 📲👉  [Your Phone Number]"
Kg. Tanah Jambu,268000,Terrace,Freehold,Under Construction,NA,0.056,2900,5,5,"🏠💤 Exciting Opportunity in Kg. Tanah Jambu! 🌴

Are you looking for a fantastic deal on a FREEHOLD property? Look no further! We have an Under Construction house available in Kg. Tanah Jambu, priced at BND 268000.

This beautiful home boasts:

🏠 5 bedrooms and 5 bathrooms
🌿 0.056 square meters of plot area
🏗️ 2900 square feet of floor area

Don't miss out on this incredible chance to own a piece of paradise! Contact us for more information and schedule a viewing today! 📲"
Kg. Kilanas,300000,Detached,Freehold,New,NA,0.081,2200,4,3,"🏠💕 NEW HOME ALERT! 🌳

Are you looking for a beautiful home in a prime location? Look no further! We have an amazing detached property for sale in Kg. Kilanas, Brunei.

This stunning 4-bedroom and 3-bathroom freehold home boasts over 2200 sq. ft. of floor area and sits on a lush plot of 0.081 acres. Perfect for a growing family or those who love outdoor living, this property is surrounded by trees and nature.

The best part? It's priced to sell at just BND 3e+05! Don't miss out on this incredible opportunity to own your dream home in Brunei.

Contact us today to schedule a viewing! 📲💬"
Kg. Subok Kota Batu,240000,Semi-Detached,NA,Proposed,2,0.089,2310,4,4,"🌴✨ NEW LISTING ALERT! ✨🌴

**Kg. Subok Kota Batu - The Perfect Blend of Comfort and Convenience!**

 🏠 Price: BND 240,000
 📍 Location: Kg. Subok Kota Batu, Brunei

Imagine coming home to a serene and peaceful abode, surrounded by lush greenery and the soothing sounds of nature. This beautiful semi-detached house in Kg. Subok Kota Batu is the epitome of comfort and convenience.

 🔵 4 spacious bedrooms and 4 modern bathrooms, perfect for family living or for those who value their alone time.
 💧 Enjoy a total floor area of 2,310 square feet, with a generous plot area of 0.089 acres, giving you ample space to grow your own herbs or simply enjoy the outdoors.
 🏃‍♀️ Easy access to nearby amenities and services, making it an ideal location for those who want to be close to nature yet still connected to the hustle and bustle of city life.

Don't miss out on this incredible opportunity to own a piece of paradise in Kg. Subok Kota Batu! Contact us today to schedule a viewing. 📲  [Your Phone Number]

**Tenure:** N/A
**Status:** Proposed
**Price:** BND 240,000"
Kg. Kulapis,238000,Detached,Leasehold,New,NA,0.121,2028,4,3,"""Spacious Detached Home for Sale in Kg. Kulapis!

🏠💕 Looking for a comfortable place to call home? This 4-bedroom, 3-bathroom detached house is now available for sale! With a generous plot area of 0.121 acres, you'll have plenty of space to relax and enjoy the outdoors.

👍 Leasehold property with a price tag of BND $238,000

🚿 New development in a convenient location
💧 Modern floor area of 2028 sq ft
🛏️ Perfect for a growing family or individual looking for a peaceful retreat

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing and make this house your dream home. 📲"""
Kg. Bebatik,185000,NA,Freehold,New,NA,0.047,1884,3,3,"🏠🌴 NEW LISTING! 🌴🏠

**Kg. Bebatik's Hidden Gem!**

Escape to a tranquil oasis in the heart of [Location] with this stunning FREEHOLD property!

**Key Features:**

✨ 3 spacious bedrooms for the ultimate family retreat
✨ 3 sleek bathrooms for comfort and convenience
✨ 1884 sqft of floor area perfect for entertaining or relaxation
✨ 0.047 acres of plot area, ideal for a private getaway
✨ NEW property with unbeatable value!

**Additional Details:**

- Price: BND 185,000

Don't miss out on this incredible opportunity to own a piece of paradise! Contact us today to schedule a viewing. 📲👉 [Your Phone Number]"
Kg. Jerudong,350000,Detached,Freehold,New,3,0.186,3036,5,4,"🏠✨ Stunning Detached Home for Sale in Kg. Jerudong! 🌴

Are you looking for a spacious and luxurious home in the heart of Kg. Jerudong? Look no further! We have an incredible 5-bedroom, 4-bathroom detached house for sale, priced at BND 350,000.

This beautiful freehold property boasts a stunning plot area of 0.186 acres and an impressive floor area of 3036 square meters. With its modern design and sleek features, this home is perfect for families or individuals seeking a comfortable living space.

Enjoy the freedom to own your dream home in Kg. Jerudong! Contact us today to schedule a viewing and make this incredible property yours! 📲💬"
Lambak,235000,Semi-Detached,Freehold,Proposed,2,0.08,2100,4,4,"🌴 💚 LUXURY LIVING IN THE HEART OF BRUNEI! 🏠💖

Experience the epitome of comfort and style in this stunning Semi-Detached property located in a highly sought-after kampong!

**Price: BND235,000**

Enjoy a spacious floor area of 2,100 sqft amidst lush surroundings. This beautiful home features:

✨ 4 luxurious bedrooms with ample storage
✨ 4 modern bathrooms for ultimate relaxation
✨ A perfect plot size of 0.08 acres, ideal for a peaceful retreat
✨ Freehold tenure for long-term investment opportunities

Don't miss out on this incredible opportunity to own a piece of paradise in Brunei! Contact us today to schedule a viewing and make this property yours!

📲 Call/WhatsApp: [insert contact number]
📧 Email: [insert email]

Hurry! Don't let this amazing deal slip away! 🚨"
Kg. Kilanas,300000,Detached,Freehold,New,NA,0.081,2200,4,3,"🌴 Luxurious Detached Home for Sale in Kg. Kilanas! 🏠

Escape to a tranquil lifestyle in this stunning detached property located in the heart of Kg. Kilanas. Enjoy 4 spacious bedrooms, perfect for growing families or individuals seeking serenity.

With over 2,200 sqft of floor area, this beautiful home offers ample space for entertaining and relaxing. The lush plot area provides a serene backdrop to your daily life.

Other notable features include:

• Freehold tenure for long-term investment
• New property with recent renovation
• Conveniently located in a peaceful kampong setting

Priced at 3,000,000 BND, this is an unbeatable opportunity to own your dream home. Contact us today to schedule a viewing! 📲"
Kg. Kilanas,325000,Detached,NA,Under Construction,1,0.327,1764,3,2,"🏠💨 NEW LUXURY DETACHED HOME ALERT! 🌴

Are you ready to upgrade your Brunei lifestyle? Look no further! We have an incredible 3-bedroom, 2-bathroom detached home for sale in Kg. Kilanas!

This stunning property boasts a spacious floor area of 1,764 sqft and sits on a beautiful plot area of 0.327 acres. Perfect for those who want to live in the lap of luxury without breaking the bank.

🚗 **Price:** BND 325,000

**Available Features:**

- 3 spacious bedrooms
- 2 modern bathrooms
- Under construction status (don't worry, you'll be one of the first to enjoy it!)
- Perfect for a growing family or investor looking for a top-notch property

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing and make Kg. Kilanas your dream home. 💕"
Kg. Mulaut,298000,Detached,NA,Under Construction,NA,0.21,2733,4,4,"🏠🌴 ""Spacious Detached Home for Sale! 🚨""

Escape to a serene living experience in Kg. Mulaut, Brunei!

* 4 spacious bedrooms and 4 sleek bathrooms
* Floor area of 2733 sqft, perfect for relaxation and entertainment!
* Land area of 0.21 acres, offering a tranquil retreat from the city bustle
* Currently under construction, this beautiful home is waiting for its new owner!
* Asking price: BND298,000 - A steal for all you get!

Don't miss out on this fantastic opportunity! Contact us today to schedule a viewing and make Kg. Mulaut your dream home! 📲💬"
Kg. Tagap,330000,Detached,Leasehold,Under Construction,NA,0.155,3131,4,5,"🏠🌴 ""Escape to Serenity"" in Kg. Tagap!

Are you ready to find your dream home? Look no further! We present to you a stunning detached property in Kg. Tagap, waiting for its next owner.

This beautiful 4-bedroom, 5-bathroom house is perfect for those who want space and comfort without breaking the bank. With a plot area of 0.155 acres and floor area of 3131 sqft, this house has it all!

Currently under construction, this leasehold property is ready to be completed soon. Don't miss out on this amazing opportunity! Contact us today to schedule a viewing.

Price: BND 330,000

Status: Under Construction"
Kg. Katimahar,180000,NA,NA,New,NA,0.048,2000,4,3,"""🌴 Escape to serenity in Kg. Katimahar!

Discover your dream home in this stunning new property! 🏠

Price: BND 180,000

This beautiful property boasts:

✨ 2000 sqft of living space
✨ 3 spacious bedrooms and 2 bathrooms
✨ Plenty of natural light and airy feel
✨ Perfect for a growing family or first-time buyer

Don't miss out on this incredible opportunity to own your dream home! Contact us today to schedule a viewing. 📲"""
Kg. Mentiri,315000,Detached,Freehold,Under Construction,NA,0.093,2755,5,5,"🏠💰 EXCITING NEW DEVELOPMENT ALERT! 🌳

Join us in Kg. Mentiri, Brunei's premier residential area, as we bring you an exclusive opportunity to own a stunning piece of property!

This beautiful 5-bedroom, 5-bathroom detached home is now available for sale at the unbeatable price of BND 315,000.

Enjoy the freedom and security of owning your dream home on a FREEHOLD tenure. With a spacious floor area of 2755 sqft and a plot area of 0.093 acres, this property offers ample space to live, relax, and grow.

Under construction now, this property is set to become the crown jewel of Kg. Mentiri's residential landscape. Don't miss out on this incredible chance to be one of the first to call this stunning home yours!

Contact us today to schedule a viewing and make your dream a reality! 📲💬"
Kg. Junjongan,189000,Detached,NA,Proposed,1,0.163,1722,3,2,"🏠💨 Exciting Opportunity in Kg. Junjongan!

Are you looking for a beautiful new home in a prime location? Look no further! We have an amazing 3 bedroom, 2 bathroom detached property for sale in Kg. Junjongan.

This stunning property boasts a spacious floor area of 1722 square feet, surrounded by a large plot area of 0.163 acres. Enjoy the tranquil surroundings and serene living experience.

Located in a growing Kampong, this property offers great potential for investment or personal use. With its proposed status, you can be one of the first to own this fantastic home.

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing and make Kg. Junjongan your dream home. 💬"
Kg. Tanjong Bunut,350000,Detached,Freehold,New,NA,0.111,2650,4,4,"🏠💤 ""Escape to Serenity in Kg. Tanjong Bunut""

🌳 Discover a tranquil oasis in this beautiful 4-bedroom, 4-bathroom detached house! 🌴

Located in the heart of Kg. Tanjong Bunut, this stunning Freehold property boasts a spacious floor area of 2650 sqft and a picturesque plot area of 0.111 acres.

Experience the perfect blend of comfort and convenience with its modern amenities and prime location. Enjoy the tranquil surroundings and unwind in style!

Price: BND 350,000

📲 Contact us for more information and to schedule a viewing today! 📲"
Kg. Mata-Mata,238000,Terrace,NA,NA,2,0.05,2500,3,2,"🏠💚 NEW LISTING ALERT! 🎉

**Kg. Mata-Mata's Hidden Gem**

Escape to this charming 2-storey home in Kg. Mata-Mata, waiting for its new owners to make it their dream haven!

**Key Features:**

✨ Spacious floor area of 2500 sqft
✨ 3 bedrooms and 2 bathrooms for a perfect family setup
✨ Cozy plot area of 0.05 acres
✨ Perfectly priced at BND 238,000

Don't miss out on this fantastic opportunity to own a piece of paradise in Kg. Mata-Mata! Contact us today to schedule a viewing. 📲💬"
Kg. Jangsak,238000,Detached,Freehold,Under Construction,NA,0.063,2201,4,3,"🏠💕 Exciting News! 🚨

Are you ready for your dream home? Look no further! 💥 We have an amazing opportunity to buy a stunning 4-bedroom, 3-bathroom detached house in Kg. Jangsak, Brunei!

This beautiful freehold property is currently under construction and offers a spacious floor area of 2201 sqft. With a plot area of 0.063 acres, you'll have plenty of room to relax and unwind.

As the house is still under construction, this is your chance to be one of the first owners in Kg. Jangsak! Don't miss out on this incredible deal!

Price: BND 238,000

Don't wait - contact us today to make your dream a reality! 📲🏠"
Kg. Pasai,230000,Detached,NA,New,NA,0.074,2126,4,3,"🏠🌴 **Dream Home in Kg. Pasai!** 🌴🏠

Are you looking for your perfect haven in Brunei? Look no further! This stunning detached property is now available for sale in Kg. Pasai.

💰 Price: BND 230,000
Located on a beautiful plot area of approximately 0.074 acres, this 4-bedroom, 3-bathroom home offers ample space to live comfortably.

Features include:

✨ 2126 sqft floor area perfect for entertaining and relaxation
✨ Spacious 3 bedrooms with 2 bathrooms to meet your family's needs
✨ Beautiful tenure status (newly built) - a rare find in Brunei!

Don't miss out on this incredible opportunity to own your dream home. Contact us today to schedule a viewing! 📲👉"
Kg. Jerudong,388000,Detached,Freehold,New,2,0.1158,2800,4,3,"🏠🌴 NEW HOME ALERT! 🌴🏠

Are you looking for a stunning detached property in the heart of Kg. Jerudong? Look no further! This beautiful house is now available for sale at an unbeatable price of BND 388,000!

With its spacious floor area of 2,800 sqft and 0.1158 ha plot size, this home offers ample space for you to live and entertain. Enjoy 4 comfortable bedrooms and 3 modern bathrooms, perfect for a family or individual looking for a peaceful retreat.

This freehold property boasts a modern design with all the necessary amenities, making it an ideal choice for those seeking a hassle-free lifestyle. Don't miss out on this incredible opportunity to own your dream home in Kg. Jerudong!

Contact us now to schedule a viewing and make this house yours! 📲🏠"
Kg. Tanah Jambu,295000,Detached,Freehold,New,NA,0.025,2700,4,4,"🌴 Luxurious Detached Home for Sale in Kg. Tanah Jambu!

Escape to serenity in this stunning detached home, perfectly priced at BND295,000! 🏠

Enjoy 2700 sq ft of spacious floor area, perfect for relaxation and entertainment. With a plot area of 0.025 acres, you'll have ample space to unwind and enjoy the outdoors.

This beautiful home boasts:

🛋️ 4 spacious bedrooms
🚿 4 modern bathrooms
🌳 0.025 acres of private plot

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing 📲💬"
Kg. Junjongan,168000,Detached,Freehold,Under Construction,2,0.1342,1584,3,3,"🏠️ HOME FOR SALE!

Are you ready to own a piece of paradise in Kg. Junjongan? 🌴 Look no further! We have an incredible opportunity for you to make your dream home a reality.

This stunning 3 bedroom, 3 bathroom detached house is currently under construction and is expected to be completed soon. Enjoy the comfort and luxury of this beautiful home, featuring:

✨ 1584 square feet of floor area
✨ 1342 square meters of plot area
✨ Perfect for family living or investment

Don't miss out on this amazing deal! With a price tag of BND 168,000, you'll be getting an unbeatable value in the heart of Kg. Junjongan.

Contact us today to schedule a viewing and make your mark on this beautiful property! 📲"
Kg. Rimba,275000,Detached,NA,Proposed,2,0.15,2500,4,4,"🌴 Beautiful Detached Home in Kg. Rimba! 🏠

Escape to a tranquil oasis in this stunning detached property located in the heart of Kg. Rimba, Brunei! Enjoy breathtaking views of the surrounding landscape while soaking up the warmth and serenity of this beautiful home.

With 4 spacious bedrooms and 4 modern bathrooms, this home is perfect for families or individuals seeking a peaceful retreat. The expansive floor area of 2500 sqft provides ample space to unwind, entertain, or simply enjoy quality time with loved ones.

This 2-storey property boasts a private plot area of 0.15 acres, providing a serene and secluded living experience.

Don't miss out on this incredible opportunity to own a piece of paradise in Kg. Rimba! 🌴

 Price: BND 275000"
Kg. Panchor Lumapas,228000,Detached,Freehold,Under Construction,2,0.13,1834,4,3,"🏠💕 **Dream Home Alert! 🤩**

Introducing your future haven in Kg. Panchor Lumapas!

🌿 0.13 acres of lush greenery on a freehold plot, waiting for you to make it your own!

✨ This beautiful detached property boasts:
1834 sq ft of spacious floor area
4 comfortable bedrooms
3 serene bathrooms

Currently under construction and ready to move in, this house is the perfect blend of modern living and traditional charm.

Don't miss out on this incredible opportunity! 💸 Price: BND 228,000. Contact us today to schedule a viewing! 📲"
Kg. Maraburong,390000,NA,NA,New,NA,0.249,2013,4,4,"🏠💛 Bright Start for Your Dream Home! 🌞

Are you ready to embark on a new chapter in your life? Look no further than this stunning 4-bedroom, 4-bathroom home in Kg. Maraburong!

💰 Asking Price: BND 390,000

This beautiful property boasts an impressive floor area of 2013 sq ft and is nestled on a spacious plot of 0.249 acres.

🏠 New Build with Modern Amenities
Perfect for first-time buyers or families looking to upgrade their living space.
Enjoy the freedom to design your dream home without any existing features to consider!

🌳 Location, Location, Location!
Kg. Maraburong is a desirable area that offers easy access to amenities and services.

Don't miss out on this amazing opportunity to own a piece of Brunei's paradise! Contact us today to schedule a viewing! 📲"
Kg. Jerudong,450000,Detached,NA,Under Construction,NA,0.16,3600,4,5,"🏠💕 ""Your Dream Home in Kg. Jerudong!

Are you looking for a beautiful and spacious home in the heart of Kg. Jerudong? Look no further! This stunning detached house is currently available for sale at BND 450,000.

With 4 spacious bedrooms and 5 modern bathrooms, this home is perfect for families or individuals who want plenty of space to relax and unwind. The floor area of approximately 3600 sqft provides ample room for living, entertaining, and enjoying quality time with loved ones.

The plot area of 0.16 acres offers a serene and private living experience, while the tenure is still under construction - giving you the perfect opportunity to put your own stamp on this beautiful home!

Don't miss out on this amazing deal! Contact us today to schedule a viewing and make this house your dream home!"""
Kg. Tanah Jambu,380000,Detached,Freehold,New,2,0.1065,2970,5,5,"🏠💕 NEW LISTING ALERT! 💕🏠

Experience the ultimate in comfort and luxury living at Kg. Tanah Jambu!

**Price:** BND 380,000

Enjoy 5 spacious bedrooms and 5 modern bathrooms in this stunning detached property.

Located on a beautiful plot area of approximately 0.1065 acres, this house is perfect for families or individuals seeking a private retreat.

Features:

* Freehold tenure for long-term investment
* New construction with top-notch quality finishes
* Floor area of 2970 square feet, ideal for entertaining and relaxation
* Plots available for your dream garden!

Don't miss out on this incredible opportunity! Contact us to schedule a viewing today! 📲💬"
Kg. Beribi,279000,Detached,NA,NA,NA,0.065,1800,4,3,"🏠✨️️️️ Luxury Detached Home for Sale in Kg. Beribi!

Are you ready to upgrade your lifestyle with a piece of Brunei's finest real estate? Look no further! 🤩

This stunning detached home boasts 4 spacious bedrooms, perfect for families or individuals seeking serenity and comfort.

With its beautiful floor area of 1800 sqft, this property offers ample space for entertaining, relaxation, and making unforgettable memories. The plot area of 0.065 acres provides a serene retreat from the hustle and bustle of city life.

Asking price: BND279,000

Don't miss out on this incredible opportunity to own a piece of Brunei's best! Contact us today to schedule a viewing! 📲"
Kg. Jerudong,290000,Detached,NA,Under Construction,NA,0.098,3260,4,4,"🏠💕 New Listings Alert! 🎉

Are you ready to own a piece of paradise in Kg. Jerudong? 💖 We've got an exciting opportunity for you!

Introducing this stunning Detached Home in Kg. Jerudong, priced at BND290,000!

This beautiful property boasts:

🏠 4 spacious bedrooms and 4 luxurious bathrooms
🛍️ 3260 square feet of floor area perfect for entertaining and relaxing
💚 0.098 acres of plot area - the ultimate retreat from city life
🏗️ Currently under construction - a blank canvas waiting for your personal touch!

Don't miss out on this incredible deal! Contact us today to schedule a viewing and make this dream home a reality! 📲👉 [Your Contact Info]"
Kg. Tagap,300000,Semi-Detached,Freehold,New,2,0.0739999999999999,1824,4,4,"🏠💖 **Your Dream Home Awaits! 🌴**

Are you looking for a beautiful semi-detached home in a peaceful kampong? Look no further! We have an stunning property available for sale at Kg. Tagap, Brunei.

This 2-storeyed semi-detached house boasts a total floor area of 1824 sq ft and is situated on a plot of land spanning 0.074 acres. With 4 spacious bedrooms and 4 modern bathrooms, this home offers ample space for your family to grow and thrive.

As a freehold property, you'll enjoy long-term ownership with no worries about rent or mortgage payments. Plus, with its brand-new status, you can move in with confidence knowing that the property is fresh and ready for you!

So why wait? Don't miss out on this incredible opportunity to own your dream home. Contact us today to schedule a viewing and make this house yours! 💕"
Kg. Jangsak,275000,Detached,Freehold,New,2,0.1235,2109,2,4,"🌴💕 Brand New Home for Sale in Kg. Jangsak!

🎉 Are you ready to upgrade your lifestyle? 🤩 We have an amazing opportunity for you! Our brand new home in Kg. Jangsak is now available for sale, and it's a must-see!

This beautiful detached home is nestled on a plot area of 0.1235 acres and boasts a stunning floor area of 2109 square feet. With 4 spacious bedrooms and 3 modern bathrooms, you'll have plenty of room to relax and unwind.

Located in the heart of Kg. Jangsak, this property offers easy access to amenities and services that will make your life easier. 🚶‍♀️

Key features:

✨ Brand new home with modern finishes
✨ Spacious 4 bedrooms and 3 bathrooms
✨ Plot area of 0.1235 acres for plenty of outdoor space
✨ Floor area of 2109 square feet for a comfortable living space
✨ Detached home with private entrance

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing.

Price: BND 275,000"
Kg. Tanah Jambu,400000,Detached,Freehold,New,NA,0.25,1500,4,3,"🏠💕 Beautiful Detached Home for Sale in Kg. Tanah Jambu!

Are you looking for a stunning freehold home with plenty of space to spread your wings? Look no further! This delightful detached house is the perfect blend of comfort, luxury, and Brunei charm.

With 3 spacious bedrooms and 2 modern bathrooms, this home is ideal for families or individuals seeking a tranquil retreat. The floor area of 1500 sqft provides ample room for relaxation, entertainment, and hobbies.

Located in the heart of Kg. Tanah Jambu, this property boasts easy access to local amenities, schools, and shopping centers. Enjoy the serene atmosphere and natural surroundings, making it an ideal choice for those seeking a peaceful lifestyle.

Don't miss out on this amazing opportunity to own your dream home! Contact us today to schedule a viewing!

Price: 4e+05 BND

Status: New"
Kg. Lumut,259000,Detached,Freehold,Resale,2,0.15,2200,4,3,"🏠💕 **Paradise Found in Kg. Lumut! 🌴**

Are you ready to call home in this stunning detached property? Located in the heart of Kg. Lumut, this beautiful freehold house is waiting for its next loving owner!

✨ 4 spacious bedrooms and 3 modern bathrooms, perfect for growing families or roommates
🏡 Floor area of 2200 sqft, providing ample space for relaxation and entertainment
💧 Plot area of 0.15 acres, offering a tranquil retreat from the hustle and bustle of daily life

**Key Highlights:**

- Resale property with a price tag of BND 259,000
- Freehold tenure for long-term ownership
- Perfect for those looking for a peaceful retreat in Kg. Lumut

Don't miss out on this incredible opportunity to own your dream home! Contact us today to schedule a viewing! 📲👉 [Your Phone Number]"
Kg. Tanah Jambu,255000,Semi-Detached,Freehold,New,NA,0.15,2300,4,3,"🏠👍 **Stunning Semi-Detached Home in Kg. Tanah Jambu! 🌴**

Are you looking for a beautiful home in a prime location? Look no further! This semi-detached house in Kg. Tanah Jambu is the perfect choice.

**Key Features:**

💕 4 spacious bedrooms and 3 modern bathrooms
🛏️ Perfectly designed to provide ample space for relaxation and entertainment
🌿 Situated on a beautiful plot area of 0.15 acres
💸 Available for BND 255,000

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing 📲👉 [Your Phone Number]"
Kg. Masin,168000,Semi-Detached,Freehold,Proposed,2,0.0879999999999999,1574,3,5,"🏠 **Your Dream Home Awaits! 🌴**

**Kg. Masin's Hidden Gem: 3 Bed, 5 Bath Semi-Detached Haven for Sale!**

Experience the perfect blend of comfort and convenience in this stunning semi-detached property located in Kg. Masin, Brunei!

🏠 Spacious floor area of 1,574 sqft
🌿 Private plot area of 0.088 acres
🚪 Freehold tenure, so you own it all!
💸 Asking price: BND 168,000

This beautiful home features:
3 spacious bedrooms and 5 modern bathrooms
Open-plan living areas perfect for socializing or relaxing
Perfectly sized kitchen for cooking up a storm!

Don't miss out on this incredible opportunity to own your dream home! Contact us today to schedule a viewing! 📲"
Kg. Jangsak,255000,Semi-Detached,Freehold,NA,2,0.06,2383,4,3,"🌴🏠 HOME OF YOUR DREAMS! 🏠🌴

Are you ready to fall in love with your dream home? Look no further! We have an incredible opportunity for you to own a beautiful Kg. Jangsak property that will make your heart skip a beat.

This stunning Semi-Detached house is nestled in a prime location and offers the perfect blend of comfort, style, and functionality. With 4 spacious bedrooms and 3 modern bathrooms, there's plenty of room for the whole family to spread out and relax.

The property boasts a total floor area of 2383 sqft, making it the perfect size for a growing family or for those who love to entertain. And with its FREEHOLD tenure, you can enjoy long-term ownership without any worries!

Other highlights include:

- A plot area of 0.06 acres - the perfect amount of space to breathe
- A price tag that's hard to beat - BND 255000!
- Tenure: Freehold

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing and make this house your home.

📲 Call/WhatsApp: [insert number]
📧 Email: [insert email]

 Hurry! Don't let this chance slip away!"
Kg. Tanjong Bunut,250000,Terrace,Freehold,Under Construction,NA,0.045,2206,4,3,"🏠 Exciting Opportunity in Kg. Tanjong Bunut! 🌴

Are you looking for a fantastic investment or dream home? Look no further! We have an incredible opportunity to purchase a stunning 4-bedroom, 3-bathroom terrace house in Kg. Tanjong Bunut.

This beautiful property boasts a spacious floor area of 2206 sqft and is situated on a plot of land measuring 0.045 acres. With its freehold tenure, you'll own this property outright and reap the benefits of long-term investment potential.

Currently under construction, this property is sure to impress with its modern design and features. Whether you're looking for a comfortable home or savvy real estate investor, this property has it all!

Don't miss out on this amazing chance to secure your dream home in Kg. Tanjong Bunut. Contact us today to schedule a viewing and make this incredible opportunity yours! 📲 077-1234567"
Kg. Katok,700000,NA,Freehold,New,NA,0.25,4000,4,4,"🏠💚 **Escape to Your Dream Home in Kg. Katok!**

Looking for a stunning freehold home in a prime location? Look no further! This beautiful property is now available for sale at an unbeatable price of 7,000,000 BND.

Located in the heart of Kg. Katok, this charming house boasts a spacious floor area of 4,000 sqft and a serene plot area of 0.25 acres. Enjoy 4 bedrooms, 4 bathrooms, and plenty of room for entertaining in your private outdoor space.

This fantastic home features:

✨ 4000 sqft of living space
✨ 4 spacious bedrooms with ample closet space
✨ 4 modern bathrooms with sleek fixtures
✨ Private outdoor area perfect for relaxation
✨ Freehold tenure for long-term investment

Don't miss out on this incredible opportunity to own a piece of paradise in Kg. Katok! Contact us today to schedule a viewing and make your dream come true!

Call/Text: [insert contact number]
Email: [insert email]

**Price:** 7,000,000 BND"
